"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_21","exp_avant_21","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_21","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_21","NB_CLUB_AVANT_21","TOP_50_AVANT_21","TOP_50_150_AVANT_21","top_restant_AVANT_21","France U16","France U17","France U18","France U19","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","Y"
190194,"Milieu",11,"France","aucun","aucun",0,0,NA,14.37,14.37,14.37,NA,NA,14.37,14.37,14.37,NA,0,10.97,8,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72335,"Gardien de But",4,"France","aucun","aucun",1,0,NA,10.17,10.17,10.17,NA,NA,10.17,10.17,10.17,NA,0,9.73,6,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339030,"Défenseur",12,"France","CFM - CENTRE DE FORMATION R.C. STRASBOURG ALSACE","aucun",0,0,20,11.26,11.93,11.26,13,13,11.93,11.26,11.26,13.39,0,7.94,4,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4382708,"Gardien de But",5,"France","aucun","aucun",0,0,11.66,12.27,NA,12.27,12.27,12.27,NA,11.66,11.66,12.27,0,11.62,1,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83659,"Attaquant",1,"France","aucun","aucun",0,0,NA,12.62,12.62,12.62,NA,NA,NA,NA,NA,NA,0.00024,17.29,2,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104364,"Attaquant",7,"France","aucun","aucun",0,0,10.46,10.46,10.46,10.46,NA,NA,NA,NA,NA,NA,0.00012,21.51,5,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082900,"Défenseur",8,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM AIX EN PROVENCE",0,0,17.06,13.28,12.12,13.28,13.28,13.28,12.12,13.28,13.28,14.82,0,11.86,4,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95012,"Défenseur",8,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",1,0,14.31,14.19,12.49,14.19,14.31,14.31,13.99,15.5,15.51,17.02,6e-05,13.62,4,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3295535,"Défenseur",5,"Française","CFM - CENTRE DE FORMATION ANGERS S.C.O.","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",0,0,10.91,12.7,13.48,12.7,15.44,15.44,12.57,12.71,12.7,14.54,4e-05,12.03,5,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5878992,"Gardien de But",8,"Française","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","PEM - PEM PLOUFRAGAN",0,0,12.48,10.06,9.02,10.06,9.84,9.84,9.02,10.06,10.06,12.48,0,10.71,5,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1377092,"Attaquant",8,"France","aucun","aucun",0,0,14.26,14.26,14.26,14.26,15.88,15.88,NA,NA,NA,NA,0.00025,9.8,7,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063675,"Défenseur",10,"France","aucun","aucun",0,0,10,NA,NA,NA,10,10,NA,NA,NA,NA,1e-05,12.33,6,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251227,"Défenseur",7,"France","aucun","aucun",0,1,NA,NA,NA,NA,10,10,NA,NA,NA,NA,3e-05,16.03,5,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3467677,"Milieu",3,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,9.23,9.23,9.23,NA,NA,9.23,9.23,9.23,NA,0.00013,14.35,2,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302627,"Milieu",7,"France","CFM - CENTRE DE FORMATION ESPER. TROYES AUBE CHAMPAGNE","aucun",0,0,NA,16.02,16.02,16.02,NA,NA,16.02,16.02,16.02,NA,4e-05,11.38,2,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3985025,"Défenseur",5,"Slovaquie","aucun","aucun",0,0,5.43,5.43,NA,5.43,NA,NA,NA,5.43,5.43,5.43,3e-05,10.65,5,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603553,"Milieu",5,"France","aucun","aucun",0,0,14.56,11.44,9.38,11.44,11.63,11.63,7.54,10.97,10.97,15.55,0.00011,8.14,11,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327890,"Attaquant",3,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",0,1,12.67,12.05,11.59,12.05,12.05,12.05,11.59,12.05,12.05,12.67,0.00067,4.93,2,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336497,"Milieu",10,"Chypre","aucun","aucun",1,0,NA,NA,NA,NA,15,15,NA,NA,NA,NA,0,55.77,1,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3930509,"Gardien de But",10,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.47,3,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058929,"Gardien de But",2,"Française","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158104,"Milieu",5,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199813,"Défenseur",4,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
