"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_20","exp_avant_20","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_20","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_20","NB_CLUB_AVANT_20","TOP_50_AVANT_20","TOP_50_150_AVANT_20","top_restant_AVANT_20","France U16","France U17","France U18","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","Y"
384,"Defenseur",3,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.6,3,"1","0","1",0,1,0,NA,NA,NA,NA,NA,8,385,4,NA,NA,NA,NA,0
409,"Defenseur",10,"France","aucun","aucun",0,1,18.27,14.13,14.78,14.13,13.59,13.59,13.04,12.75,12.75,12.16,0,9.01,7,"1","0","1",1,1,0,NA,2,128,2,NA,2,48,1,NA,NA,NA,NA,1
414,"Milieu",1,"Maroc","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00013,8.27,2,"0","1","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
423,"Defenseur",6,"France","CFM - CENTRE DE FORMATION AMIENS SP.C. PICARDIE","aucun",0,0,6.6,11.42,11.42,11.42,6.6,6.6,16.24,16.24,16.24,NA,3e-05,14.24,1,"0","0","1",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,216,2,0
425,"Attaquant",12,"France","CFM - ACADEMY AS MONACO FC","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00049,10.1,3,"0","1","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,116,2,0
448,"Milieu",5,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
465,"Defenseur",2,"Congo","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-05,17.04,1,"1","0","0",1,0,0,NA,5,348,4,NA,NA,NA,NA,NA,NA,NA,NA,1
470,"Defenseur",2,"France","CFM - CENTRE DE FORMATION F.C. METZ","PEM - PEM NANCY",1,0,NA,17.75,17.75,17.75,NA,NA,17.75,17.75,17.75,NA,0,29.14,1,"0","0","1",1,0,0,NA,11,768,8,NA,NA,NA,NA,NA,NA,NA,NA,0
479,"Defenseur",4,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM TALENCE",0,1,10.18,12.59,12.59,12.59,10.18,10.18,15,15,15,NA,4e-05,14.97,2,"0","1","1",1,1,1,NA,1,19,NA,NA,4,278,3,NA,5,294,4,1
499,"Attaquant",10,"Congo","CFM - CENTRE DE FORMATION ST. BRESTOIS 29","aucun",0,0,16,12.9,12.9,12.9,15.51,15.51,10.53,10.53,10.53,NA,0.00027,13.35,4,"1","0","1",1,0,0,NA,2,68,1,NA,NA,NA,NA,NA,NA,NA,NA,0
512,"Milieu",3,"France","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
515,"Milieu",5,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,13.14,12.13,12.2,12.13,12.45,12.45,11.62,11.66,11.66,11.79,2e-04,9.08,3,"0","1","1",0,1,0,NA,NA,NA,NA,NA,2,93,1,NA,NA,NA,NA,0
523,"Milieu",3,"France","CFM - CENTRE DE FORMATION PARIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00038,12.81,2,"1","0","1",0,1,0,NA,NA,NA,NA,NA,2,92,1,NA,NA,NA,NA,0
