"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_21","exp_avant_21","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_21","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_21","NB_CLUB_AVANT_21","TOP_50_AVANT_21","TOP_50_150_AVANT_21","top_restant_AVANT_21","France U16","France U17","France U18","France U19","France U20","France U21","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","U21_NB_BUT","U21_NB_MATCH_JOUE","U21_NB_MIN_JOUE","U21_TITULARISATION","Y"
4164,"Defenseur",5,"Espagne","aucun","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014,21.62,1,"0","0","1",0,1,1,1,0,1,NA,NA,NA,NA,NA,11,615,5,NA,9,668,8,NA,12,1066,12,NA,NA,NA,NA,1,19,1574,18,0
4177,"Attaquant",1,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00223,21.05,2,"0","0","1",0,1,0,1,1,1,NA,NA,NA,NA,4,16,1228,14,NA,NA,NA,NA,2,9,430,3,1,10,825,10,5,8,479,6,0
4186,"Defenseur",5,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,1,14.65,15.45,15.51,15.45,15.96,15.96,15.51,16.25,16.25,14.65,5e-05,7.81,4,"1","0","0",1,1,0,1,0,1,NA,2,72,1,NA,1,71,1,NA,NA,NA,NA,NA,3,247,3,NA,NA,NA,NA,1,9,463,5,1
4190,"Defenseur",8,"Cote d'ivoire","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9e-05,13.54,2,"1","0","0",1,1,1,1,1,1,NA,5,326,4,NA,1,90,1,NA,2,180,2,NA,1,90,1,NA,10,900,10,NA,1,78,1,0
4191,"Defenseur",11,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9e-05,13.39,5,"1","1","1",0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,1,NA,2,104,1,NA,NA,NA,NA,NA,6,394,4,0
4196,"Milieu",3,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,14.42,14.98,14.98,14.98,14.42,14.42,15.54,15.54,15.54,NA,0.00045,10.62,1,"0","1","0",0,1,0,1,0,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,202,2,NA,NA,NA,NA,NA,9,400,4,0
4212,"Milieu",8,"France","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00117,25.12,2,"0","0","1",0,1,1,1,1,1,NA,NA,NA,NA,NA,7,630,7,NA,4,299,4,NA,15,1262,14,NA,9,550,7,NA,3,110,1,0
4223,"Defenseur",6,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00687,32.33,2,"1","0","0",0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,104,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,1,0
4278,"Defenseur",1,"Algérie","aucun","aucun",0,1,NA,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.43,NA,0.00019,6.35,6,"1","1","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,381,5,0
4302,"Attaquant",6,"France","aucun","aucun",9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00053,8.42,3,"1","0","0",1,1,1,1,0,1,1,9,596,6,NA,8,707,8,1,6,441,5,NA,7,469,5,NA,NA,NA,NA,2,9,539,6,1
4310,"Defenseur",4,"France","aucun","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.85,2,"1","1","0",1,1,0,1,1,1,NA,5,324,4,NA,3,117,2,NA,NA,NA,NA,NA,3,231,3,NA,1,45,1,NA,1,10,NA,0
4332,"Attaquant",8,"France","aucun","aucun",0,1,17.68,17.68,NA,17.68,17.68,17.68,NA,17.68,17.68,17.68,0.00037,7.66,5,"0","1","1",1,1,0,0,1,1,1,7,353,4,NA,2,105,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,168,2,NA,1,20,NA,0
4333,"Attaquant",6,"France","aucun","aucun",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014,8.21,2,"1","0","0",1,1,1,1,1,1,2,7,377,4,NA,2,86,1,1,4,251,3,2,13,1061,13,1,6,392,5,6,9,627,8,0
4353,"Attaquant",8,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00082,11.98,4,"1","1","1",1,1,0,1,0,1,6,13,909,9,2,8,694,8,NA,NA,NA,NA,3,12,995,12,NA,NA,NA,NA,1,2,93,NA,0
