"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_16","exp_avant_16","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_16","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_16","NB_CLUB_AVANT_16","TOP_50_AVANT_16","TOP_50_150_AVANT_16","top_restant_AVANT_16","Y"
1746,"Gardien de But",5,"France","aucun","aucun",0,0,NA,12.68,13.12,12.68,13.88,13.88,13.12,12.84,12.84,10.91,0,14.22,2,"0","0","1",1
1762,"Milieu",8,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
1776,"Defenseur",5,"France","CFM - LOSC LILLE ASSOCIATION","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00015,17.66,3,"1","1","0",1
1782,"Attaquant",7,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,16.84,14.6,14.24,14.6,15.24,15.24,14.24,14.6,14.6,15.57,0.00057,19.76,2,"1","0","0",1
1786,"Gardien de But",2,"France","CFM - CENTRE DE FORMATION F.C. NANTES","PEM - PEM CLAIREFONTAINE",0,0,NA,18.43,18.43,18.43,16.96,16.96,18.43,18.43,18.43,NA,0,16.2,2,"0","1","1",1
1798,"Defenseur",6,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM PLOUFRAGAN",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
1804,"Defenseur",11,"France","CFM - CENTRE DE FORMATION A.C. AJACCIEN","aucun",0,0,13.28,13.37,14.62,13.37,13.59,13.59,13.46,12.48,12.48,11.12,8e-05,27.55,1,"0","1","0",1
1808,"Milieu",1,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
1819,"Defenseur",12,"Cameroun","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
1831,"Attaquant",4,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,15.53,14.32,14.83,14.32,14.42,14.42,13.82,13.51,13.51,13.79,0.00017,23.21,1,"1","0","0",1
1857,"Milieu",1,"Maroc","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","PEM - PEM CLAIREFONTAINE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"0","0","1",1
1861,"Defenseur",3,"Martinique","aucun","aucun",0,0,18.36,18.36,18.36,18.36,18.36,18.36,NA,NA,NA,NA,0,42.1,1,"1","0","0",1
1878,"Gardien de But",2,"France","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
1904,"Milieu",5,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
1913,"Defenseur",3,"Cameroun","CFM - CENTRE DE FORMATION R.C. LENSOIS","PEM - PEM LIEVIN",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,67.64,1,"0","1","0",1
1918,"Defenseur",3,"France","CFM - CENTRE DE FORMATION F.C. NANTES","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00012,19.57,4,"1","1","1",1
1926,"Milieu",2,"France","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00094,42.12,1,"0","0","1",1
1947,"Defenseur",5,"Sénégal","CFM - ACADEMY AS MONACO FC","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
1963,"Milieu",3,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,17.11,16.07,15.45,16.07,16.37,16.37,14.04,15.65,15.65,18.39,0.00021,35.4,1,"1","0","0",1
1964,"Defenseur",3,"France","CFM - ACADEMY AS MONACO FC","aucun",1,1,NA,18.34,18.34,18.34,18.67,18.67,18.34,18.34,18.34,NA,6e-05,27.33,3,"0","1","0",1
1991,"Defenseur",2,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","PEM - PEM CLAIREFONTAINE",0,0,NA,14.23,14.33,14.23,14.89,14.89,14.33,14.23,14.23,13.91,7e-05,27.92,2,"0","0","0",1
1992,"Gardien de But",11,"France","CFM - CENTRE DE FORMATION F.C. METZ","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
2001,"Milieu",7,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,NA,2e-04,17.23,1,"0","1","0",1
2026,"Milieu",3,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM CLAIREFONTAINE",1,1,NA,17.17,17.17,17.17,15.74,15.74,17.17,17.17,17.17,NA,0.00051,34.7,2,"0","1","0",1
2027,"Defenseur",6,"France","CFM - ACADEMY AS MONACO FC","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00012,13.59,3,"1","1","0",1
2039,"Attaquant",3,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,NA,9.77,9.77,9.77,NA,NA,NA,9.77,9.77,9.77,0.00064,13.3,1,"0","1","0",1
2069,"Defenseur",4,"France","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0,14.62,14.62,15.6,14.62,16.34,16.34,16.26,NA,NA,NA,0.00011,29.41,1,"1","0","0",1
2074,"Milieu",5,"France","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","PEM - PEM NANCY",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
2079,"Defenseur",7,"Mauritanie","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
2115,"Attaquant",3,"Cote d'ivoire","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM REIMS",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
2118,"Attaquant",10,"France","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1
2123,"Milieu",4,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,14.63,16.8,16.73,16.8,16.64,16.64,16.73,16.8,16.8,16.48,0.00012,20.23,3,"1","0","0",1
