"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_19","exp_avant_19","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_19","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_19","NB_CLUB_AVANT_19","TOP_50_AVANT_19","TOP_50_150_AVANT_19","top_restant_AVANT_19","France U16","France U17","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","Y"
3254,"Defenseur",7,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
3280,"Attaquant",6,"France","CFM - CENTRE DE FORMATION ST DE REIMS","PEM - PEM GUADELOUPE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00049,17.3,2,"0","0","1",1,0,NA,8,359,4,NA,NA,NA,NA,0
3283,"Defenseur",3,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19.15,1,"1","0","0",1,0,NA,2,87,1,NA,NA,NA,NA,1
3296,"Defenseur",8,"France","CFM - CENTRE DE FORMATION NIMES OLYMPIQUE","aucun",0,0,NA,16.82,16.82,16.82,NA,NA,16.82,16.82,16.82,NA,0.00015,16.3,1,"0","0","0",1,0,NA,1,90,1,NA,NA,NA,NA,0
3311,"Defenseur",6,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
3335,"Milieu",11,"France","aucun","aucun",0,0,14.39,14.31,14.27,14.31,14.31,14.31,14.27,14.31,14.31,14.39,0.00036,10.95,2,"0","0","1",1,0,NA,2,49,NA,NA,NA,NA,NA,0
3342,"Defenseur",2,"France","CFM - CENTRE DE FORMATION R.C. STRASBOURG ALSACE","PEM - PEM DIJON",0,0,19.32,19.32,NA,19.32,17.41,17.41,NA,19.32,19.32,19.32,3e-05,10.89,5,"0","0","1",0,1,NA,NA,NA,NA,NA,8,443,5,0
3349,"Attaquant",6,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
3350,"Defenseur",1,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,NA,18.29,18.29,18.29,18.65,18.65,18.29,18.29,18.29,NA,0,26.75,1,"0","1","0",1,0,NA,5,210,2,NA,NA,NA,NA,0
3364,"Milieu",12,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00015,10.24,3,"1","0","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
3385,"Attaquant",2,"France","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","PEM - PEM NANCY",0,0,18.45,18.1,17.94,18.1,17.46,17.46,17.81,18.03,18.03,18.62,0.00062,11.47,2,"0","0","0",0,1,NA,NA,NA,NA,NA,2,40,NA,0
3417,"Gardien de But",1,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,0,NA,4.35,4.35,4.35,NA,NA,4.35,4.35,4.35,NA,0,12.97,1,"0","0","0",1,1,NA,2,126,1,NA,4,319,3,1
3423,"Milieu",6,"France","CFM - CENTRE DE FORMATION CLERMONT FOOT 63","aucun",0,0,NA,8.34,10.21,8.34,NA,NA,10.21,8.34,8.34,NA,0.00013,9.9,4,"0","0","1",1,0,NA,2,27,NA,NA,NA,NA,NA,0
3438,"Milieu",6,"Cameroun","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,1,"1","0","0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
3442,"Defenseur",9,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
3445,"Milieu",5,"France","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","PEM - PEM NANCY",1,1,NA,17.65,17.65,17.65,NA,NA,17.65,17.65,17.65,NA,8e-05,11.8,3,"0","0","1",1,1,NA,10,709,8,NA,12,938,10,0
3446,"Defenseur",12,"France","aucun","aucun",0,1,18.13,14.32,11.47,14.32,14.41,14.41,11.47,14.32,14.32,18.13,6e-05,7.63,5,"0","0","1",1,0,NA,2,91,1,NA,NA,NA,NA,0
3447,"Defenseur",4,"France","CFM - CENTRE DE FORMATION ST. BRESTOIS 29","PEM - PEM PLOUFRAGAN",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25.88,1,"1","0","0",1,0,NA,8,409,5,NA,NA,NA,NA,0
3451,"Defenseur",9,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
