"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_18","exp_avant_18","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_18","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_18","NB_CLUB_AVANT_18","TOP_50_AVANT_18","TOP_50_150_AVANT_18","top_restant_AVANT_18","France U16","France U17","France U18","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","Y"
3403,"Milieu",2,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,71.05,1,"0","0","1",1,0,1,1,6,318,3,NA,NA,NA,NA,1,6,334,4,0
3406,"Defenseur",7,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00093,35.64,1,"0","1","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,0
3415,"Defenseur",1,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",3,0,NA,NA,NA,NA,11.67,11.67,10,NA,NA,NA,0.00014,14.71,1,"0","0","1",1,1,1,NA,1,90,1,NA,1,44,NA,NA,7,413,4,0
3427,"Defenseur",11,"France","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","PEM - PEM NANCY",0,1,10.19,10.19,18.53,10.19,18.9,18.9,18.53,10.19,10.19,10.19,8e-05,11.86,4,"0","1","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,85,1,0
3489,"Attaquant",8,"France","CFM - ACADEMY AS MONACO FC","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00585,12.21,2,"0","1","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,237,3,0
3497,"Defenseur",4,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,0,NA,9.07,9.24,9.07,9.24,9.24,9.24,9.07,9.07,8.73,6e-05,10.62,1,"0","0","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,291,3,0
3499,"Attaquant",7,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,79,1,"0","1","0",1,1,1,3,8,469,5,NA,5,212,3,1,1,65,1,1
3503,"Attaquant",1,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00076,14.32,2,"1","1","0",1,1,1,4,6,292,4,2,10,596,8,NA,3,128,1,0
3511,"Milieu",7,"France","aucun","aucun",3,1,NA,13.17,13.17,13.17,NA,NA,13.17,13.17,13.17,NA,9e-05,25.99,3,"1","0","0",1,1,1,NA,13,759,7,NA,16,1167,14,1,7,490,5,0
3517,"Milieu",4,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM PLOUFRAGAN",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,1,NA,NA,NA,NA,NA,7,513,5,NA,1,63,1,1
3529,"Defenseur",2,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,101,1,"0","1","0",0,1,1,NA,NA,NA,NA,NA,6,337,3,NA,1,59,1,1
3532,"Milieu",2,"République Centrafricaine","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,1,NA,NA,NA,NA,NA,6,387,5,5,12,847,9,1
